id,title,author,description,genres,cover
1,Dune,Frank Herbert,"Epic science fiction about politics, religion, and desert planet Arrakis.","Science Fiction,Adventure","/static/covers/1.jpg"
2,Pride and Prejudice,Jane Austen,"A witty social commentary and romance centered on Elizabeth Bennet.","Romance,Classic","/static/covers/2.jpg"
3,The Notebook,Nicholas Sparks,"A love story that spans decades, told through letters and memories.","Romance,Contemporary Fiction","/static/covers/3.jpg"
4,Me Before You,Jojo Moyes,"A life-changing relationship between a caregiver and her quadriplegic employer.","Romance,Contemporary Fiction","/static/covers/4.jpg"
5,Outlander,Diana Gabaldon,"A WWII nurse is transported back to 18th-century Scotland.","Romance,Historical Fiction,Time Travel","/static/covers/5.jpg"
6,The Hating Game,Sally Thorne,"Office enemies engage in a battle of wits that turns into love.","Romance,Contemporary Fiction,Comedy","/static/covers/6.jpg"
7,It Ends with Us,Colleen Hoover,"A woman's relationship is tested when her first love returns.","Romance,Contemporary Fiction,Drama","/static/covers/7.jpg"
8,The Kiss Quotient,Helen Hoang,"An econometrician hires a male escort to help her learn about intimacy.","Romance,Contemporary Fiction","/static/covers/8.jpg"
9,Red, White & Royal Blue,Casey McQuiston,"The First Son falls for the Prince of Wales in this LGBTQ+ romance.","Romance,LGBTQ+,Political Fiction","/static/covers/9.jpg"
10,Beach Read,Emily Henry,"Two rival writers challenge each other to write outside their genres.","Romance,Contemporary Fiction,Comedy","/static/covers/10.jpg"
11,The Hobbit,J.R.R. Tolkien,"A reluctant hobbit goes on an adventure with dwarves to reclaim treasure.","Fantasy,Adventure","/static/covers/11.jpg"
12,Harry Potter and the Sorcerer's Stone,J.K. Rowling,"A young wizard discovers his magical heritage and attends Hogwarts.","Fantasy,Adventure,Young Adult","/static/covers/12.jpg"
13,The Name of the Wind,Patrick Rothfuss,"A gifted young man grows into a legendary figure; lyrical fantasy.","Fantasy,Epic","/static/covers/13.jpg"
14,A Game of Thrones,George R.R. Martin,"Political intrigue and war in the Seven Kingdoms of Westeros.","Fantasy,Epic,Political Fiction","/static/covers/14.jpg"
15,The Way of Kings,Brandon Sanderson,"Epic fantasy with unique magic systems and complex worldbuilding.","Fantasy,Epic","/static/covers/15.jpg"
16,Mistborn,Brandon Sanderson,"A thief discovers she has magical powers in a world of ash and mist.","Fantasy,Adventure","/static/covers/16.jpg"
17,The Lion, the Witch and the Wardrobe,C.S. Lewis,"Children discover a magical world through a wardrobe.","Fantasy,Adventure,Children's","/static/covers/17.jpg"
18,The Dark Tower: The Gunslinger,Stephen King,"A gunslinger pursues the man in black across a desert wasteland.","Fantasy,Western,Dark Fantasy","/static/covers/18.jpg"
19,American Gods,Neil Gaiman,"Old gods clash with new in contemporary America.","Fantasy,Mythology,Contemporary Fiction","/static/covers/19.jpg"
20,The Fifth Season,N.K. Jemisin,"A woman searches for her daughter in a world of seismic catastrophe.","Fantasy,Science Fiction,Dystopia","/static/covers/20.jpg"
21,1984,George Orwell,"Dystopian novel about surveillance, totalitarianism and truth control.","Dystopia,Political Fiction,Classic","/static/covers/21.jpg"
22,The Handmaid's Tale,Margaret Atwood,"A dystopian tale of women's oppression in a theocratic society.","Dystopia,Feminist Fiction","/static/covers/22.jpg"
23,Brave New World,Aldous Huxley,"A society controlled through technology, conditioning, and drugs.","Dystopia,Science Fiction","/static/covers/23.jpg"
24,Fahrenheit 451,Ray Bradbury,"A future where books are banned and burned by firemen.","Dystopia,Science Fiction","/static/covers/24.jpg"
25,The Hunger Games,Suzanne Collins,"A dystopian tale of survival and rebellion in a totalitarian society.","Dystopia,Adventure,Young Adult","/static/covers/25.jpg"
26,The Giver,Lois Lowry,"A boy discovers the truth about his seemingly perfect society.","Dystopia,Young Adult,Science Fiction","/static/covers/26.jpg"
27,Station Eleven,Emily St. John Mandel,"Life before and after a devastating pandemic.","Dystopia,Post-Apocalyptic,Literary Fiction","/static/covers/27.jpg"
28,Never Let Me Go,Kazuo Ishiguro,"Students at a boarding school discover a disturbing truth about their purpose.","Dystopia,Science Fiction,Literary Fiction","/static/covers/28.jpg"
29,The Road,Cormac McCarthy,"A father and son journey through a post-apocalyptic wasteland.","Dystopia,Post-Apocalyptic,Literary Fiction","/static/covers/29.jpg"
30,Divergent,Veronica Roth,"A society divided into factions based on personality traits.","Dystopia,Young Adult,Adventure","/static/covers/30.jpg"
31,Sapiens,Yuval Noah Harari,"A brief history of humankind exploring cognitive, agricultural, and scientific revolutions.","Nonfiction,History,Anthropology","/static/covers/31.jpg"
32,Educated,Tara Westover,"A memoir about education, family, and the struggle for self-invention.","Nonfiction,Memoir,Biography","/static/covers/32.jpg"
33,Becoming,Michelle Obama,"The former First Lady's memoir of her life and experiences.","Nonfiction,Memoir,Biography,Politics","/static/covers/33.jpg"
34,Atomic Habits,James Clear,"A guide to building good habits and breaking bad ones.","Nonfiction,Self-Help,Psychology","/static/covers/34.jpg"
35,Thinking, Fast and Slow,Daniel Kahneman,"Insights into how the mind makes decisions.","Nonfiction,Psychology,Economics","/static/covers/35.jpg"
36,The Immortal Life of Henrietta Lacks,Rebecca Skloot,"The story of cells that revolutionized medical science.","Nonfiction,Science,Biography","/static/covers/36.jpg"
37,Born a Crime,Trevor Noah,"A comedian's memoir about growing up in apartheid South Africa.","Nonfiction,Memoir,Comedy,Biography","/static/covers/37.jpg"
38,The Power of Now,Eckhart Tolle,"A guide to spiritual enlightenment and mindfulness.","Nonfiction,Spirituality,Self-Help","/static/covers/38.jpg"
39,A Brief History of Time,Stephen Hawking,"An exploration of cosmology and the universe.","Nonfiction,Science,Physics","/static/covers/39.jpg"
40,The 7 Habits of Highly Effective People,Stephen Covey,"Principles for personal and professional effectiveness.","Nonfiction,Self-Help,Business","/static/covers/40.jpg"
41,Neuromancer,William Gibson,"Cyberpunk classic; a washed-up hacker is hired for one last job.","Science Fiction,Cyberpunk","/static/covers/41.jpg"
42,The Martian,Andy Weir,"A stranded astronaut uses engineering and humor to survive on Mars.","Science Fiction,Survival,Adventure","/static/covers/42.jpg"
43,Foundation,Isaac Asimov,"A mathematician predicts the fall of an empire and starts the Foundation project.","Science Fiction,Epic","/static/covers/43.jpg"
44,The Left Hand of Darkness,Ursula K. Le Guin,"An envoy visits a planet with ambisexual inhabitants; explores society and politics.","Science Fiction,Social Commentary","/static/covers/44.jpg"
45,Ender's Game,Orson Scott Card,"A child prodigy is trained to fight an alien invasion.","Science Fiction,Military,Young Adult","/static/covers/45.jpg"
46,The Hitchhiker's Guide to the Galaxy,Douglas Adams,"A comedic journey through space after Earth's destruction.","Science Fiction,Comedy,Adventure","/static/covers/46.jpg"
47,Blade Runner,Philip K. Dick,"Androids question what it means to be human.","Science Fiction,Cyberpunk,Philosophy","/static/covers/47.jpg"
48,The Time Machine,H.G. Wells,"A Victorian inventor travels to the distant future.","Science Fiction,Time Travel,Classic","/static/covers/48.jpg"
49,I, Robot,Isaac Asimov,"Stories about robots and the three laws of robotics.","Science Fiction,Robotics","/static/covers/49.jpg"
50,The War of the Worlds,H.G. Wells,"Martians invade Earth with superior technology.","Science Fiction,Invasion,Classic","/static/covers/50.jpg"

